Source,Target,Type,Id,Label,Weight,edge-type
M33,4663,Undirected,812,,1,
M33,4767,Undirected,813,,1,
M33,4762,Undirected,814,,1,
M33,4634,Undirected,815,,1,
M33,1507,Undirected,816,,1,
M33,4768,Undirected,817,,1,
M33,4764,Undirected,818,,1,
M33,5262,Undirected,819,,1,
M33,5261,Undirected,820,,1,
M33,5264,Undirected,821,,1,
M33,5263,Undirected,822,,1,
M33,5329,Undirected,823,,1,
M33,1301,Undirected,825,,1,
M33,3048,Undirected,826,,1,
M33,5334,Undirected,827,,1,
M33,3127,Undirected,828,,1,
M34,4532,Undirected,830,,1,
M34,4772,Undirected,831,,1,
M34,4651,Undirected,832,,1,
M34,4652,Undirected,833,,1,
M34,4571,Undirected,834,,1,
M34,4565,Undirected,835,,1,
M34,4530,Undirected,836,,1,
M34,4756,Undirected,837,,1,
M34,4771,Undirected,838,,1,
M34,4653,Undirected,839,,1,
M34,4728,Undirected,840,,1,
M34,4740,Undirected,841,,1,
