Source,Target,Type,Id,Label,Weight,edge-type,MMNT-EdgeType
4702,4737,Undirected,3438,Legend-Legend,14,,Legend<--->Legend
4702,4535,Undirected,3446,Legend-Legend,17,,Legend<--->Legend
4702,4647,Undirected,3447,Legend-Legend,15,,Legend<--->Legend
4702,4745,Undirected,3448,Legend-Legend,16,,Legend<--->Legend
4702,4749,Undirected,3449,Legend-Legend,16,,Legend<--->Legend
4702,4659,Undirected,3452,Legend-Legend,15,,Legend<--->Legend
4702,4545,Undirected,3460,Legend-Legend,16,,Legend<--->Legend
4702,4576,Undirected,3462,Legend-Legend,15,,Legend<--->Legend
5339,4609,Undirected,3607,Legend-Legend,17,,Legend<--->Legend
5339,4742,Undirected,3608,Legend-Legend,18,,Legend<--->Legend
5339,4579,Undirected,3609,Legend-Legend,18,,Legend<--->Legend
5339,4603,Undirected,3610,Legend-Legend,19,,Legend<--->Legend
5339,4752,Undirected,3611,Legend-Legend,20,,Legend<--->Legend
5339,4728,Undirected,3615,Legend-Legend,18,,Legend<--->Legend
5339,4543,Undirected,3617,Legend-Legend,18,,Legend<--->Legend
5339,3127,Undirected,3619,Legend-Legend,19,,Legend<--->Legend
5339,4772,Undirected,3621,Legend-Legend,18,,Legend<--->Legend
5339,4565,Undirected,3623,Legend-Legend,18,,Legend<--->Legend
5339,4697,Undirected,3625,Legend-Legend,19,,Legend<--->Legend
5339,5338,Undirected,3626,Legend-Legend,19,,Legend<--->Legend
5339,4737,Undirected,3628,Legend-Legend,16,,Legend<--->Legend
5339,4535,Undirected,3636,Legend-Legend,18,,Legend<--->Legend
5339,4647,Undirected,3637,Legend-Legend,18,,Legend<--->Legend
5339,4745,Undirected,3638,Legend-Legend,17,,Legend<--->Legend
5339,4749,Undirected,3639,Legend-Legend,18,,Legend<--->Legend
5339,4659,Undirected,3642,Legend-Legend,16,,Legend<--->Legend
5339,4545,Undirected,3650,Legend-Legend,17,,Legend<--->Legend
5339,4576,Undirected,3652,Legend-Legend,16,,Legend<--->Legend
4609,4742,Undirected,3795,Legend-Legend,18,,Legend<--->Legend
4609,4579,Undirected,3796,Legend-Legend,19,,Legend<--->Legend
4609,4603,Undirected,3797,Legend-Legend,18,,Legend<--->Legend
4609,4752,Undirected,3798,Legend-Legend,18,,Legend<--->Legend
4609,4728,Undirected,3802,Legend-Legend,20,,Legend<--->Legend
4609,4543,Undirected,3804,Legend-Legend,16,,Legend<--->Legend
4609,3127,Undirected,3806,Legend-Legend,17,,Legend<--->Legend
4609,4772,Undirected,3808,Legend-Legend,18,,Legend<--->Legend
4609,4565,Undirected,3810,Legend-Legend,18,,Legend<--->Legend
4609,4697,Undirected,3812,Legend-Legend,17,,Legend<--->Legend
4609,5338,Undirected,3813,Legend-Legend,16,,Legend<--->Legend
4609,4737,Undirected,3815,Legend-Legend,14,,Legend<--->Legend
4609,4535,Undirected,3823,Legend-Legend,15,,Legend<--->Legend
4609,4647,Undirected,3824,Legend-Legend,14,,Legend<--->Legend
4609,4745,Undirected,3825,Legend-Legend,15,,Legend<--->Legend
4609,4749,Undirected,3826,Legend-Legend,15,,Legend<--->Legend
4609,4659,Undirected,3829,Legend-Legend,14,,Legend<--->Legend
4609,4545,Undirected,3837,Legend-Legend,15,,Legend<--->Legend
4609,4576,Undirected,3839,Legend-Legend,14,,Legend<--->Legend
4742,4579,Undirected,3986,Legend-Legend,19,,Legend<--->Legend
